timestamp,class
52.16,intruder
52.2,intruder
52.24,intruder
52.28,intruder
52.32,intruder
52.36,intruder
52.4,intruder
52.44,intruder
52.48,intruder
54.6,intruder
54.64,intruder
54.68,intruder
54.72,intruder
54.76,intruder
54.8,intruder
54.84,intruder
54.88,intruder
54.92,intruder
54.96,intruder
55.0,intruder
55.04,intruder
55.08,intruder
55.12,intruder
55.16,intruder
55.2,intruder
55.24,intruder
55.28,intruder
55.32,intruder
55.36,intruder
55.4,intruder
55.44,intruder
55.48,intruder
55.52,intruder
55.56,intruder
55.6,intruder
55.64,intruder
55.68,intruder
55.72,intruder
55.76,intruder
55.8,intruder
55.84,intruder
55.88,intruder
55.92,intruder
55.96,intruder
56.0,intruder
56.04,intruder
56.08,intruder
56.12,intruder
56.16,intruder
56.2,intruder
56.24,intruder
56.28,intruder
56.32,intruder
56.36,intruder
56.4,intruder
56.44,intruder
56.48,intruder
56.52,intruder
56.56,intruder
56.6,intruder
56.64,intruder
56.68,intruder
56.72,intruder
56.76,intruder
56.8,intruder
56.84,intruder
56.88,intruder
56.92,intruder
56.96,intruder
57.0,intruder
57.04,intruder
57.08,intruder
57.12,intruder
57.16,intruder
57.2,intruder
57.24,intruder
57.28,intruder
57.32,intruder
57.36,intruder
57.4,intruder
57.44,intruder
57.48,intruder
57.52,intruder
57.56,intruder
57.6,intruder
57.64,intruder
57.68,intruder
57.72,intruder
57.76,intruder
57.8,intruder
57.84,intruder
57.88,intruder
57.92,intruder
57.96,intruder
58.0,intruder
58.04,intruder
58.08,intruder
58.12,intruder
58.16,intruder
58.2,intruder
58.24,intruder
58.28,intruder
58.32,intruder
58.36,intruder
58.4,intruder
58.44,intruder
58.48,intruder
58.52,intruder
58.56,intruder
58.6,intruder
58.64,intruder
58.68,intruder
58.72,intruder
58.76,intruder
58.8,intruder
58.84,intruder
58.88,intruder
58.92,intruder
58.96,intruder
59.0,intruder
59.04,intruder
59.08,intruder
59.12,intruder
59.16,intruder
59.2,intruder
59.24,intruder
59.28,intruder
59.32,intruder
59.36,intruder
59.4,intruder
59.44,intruder
59.48,intruder
59.52,intruder
59.56,intruder
59.6,intruder
59.64,intruder
59.68,intruder
59.72,intruder
59.76,intruder
59.8,intruder
59.84,intruder
59.88,intruder
59.92,intruder
59.96,intruder
